po;maxmin;minmin;pf;volume;capital;negotiation;mme13;me;mb;diff;cible
4264,5;4268;4263,5;4267,5;7402;315799725;2168;4264,7;4266,3;4264;8,081;4269,5
4265;4266;4264;4264;2883;122959195;594;4264,2;4266,1;4263,9;7,981;4268,5
4263,5;4265,5;4263;4265,5;2256;96201745;714;4263,6;4265;4262,5;8,51;4268
4264;4266;4264;4264;7007;298850335;1810;4260,8;4260,9;4258,3;8,096;4267,5
4265;4265,5;4263,5;4265,5;3160;134761695;792;4263,9;4265,4;4262,9;8,497;4267
4265;4265,5;4263,5;4264;4948;210995900;1393;4263,1;4263,8;4261,3;8,685;4266,5
4254,5;4257;4254,5;4256;4265;181518735;1357;4253,8;4254,4;4251,9;5,602;4266
4258;4260,5;4257;4258,5;11993;510795560;3839;4254,9;4255,3;4252,6;6,024;4265,5
4258,5;4260;4258;4259;3566;151875925;1051;4255,5;4255,9;4253,2;6,247;4265
4257,5;4259;4257;4258,5;3715;158189285;1095;4256,2;4257;4254,3;6,402;4264,5
4253;4254;4252,5;4253;1474;62693205;545;4253,1;4253,8;4251,4;5,562;4264
4255;4255,5;4253,5;4255,5;4083;173711450;1250;4253;4253,4;4251;5,775;4263,5
4255;4256;4252,5;4253,5;3880;165066655;1259;4253,1;4253,7;4251,2;5,692;4263
4255;4257,5;4255;4255;7868;334898875;2377;4252,6;4253,1;4250,7;5,656;4260,5
4251;4251;4249;4249,5;2161;91839350;678;4250,8;4251,6;4249,8;0,525;4259,5
4253,5;4256;4253;4254,5;6481;275763470;2232;4251,7;4252,2;4250,1;5,355;4259
4249,5;4251,5;4249,5;4251;3311;140730950;931;4251;4251,7;4249,8;0,551;4258,5
4248,5;4249;4247,5;4248,5;2653;112703060;714;4244,4;4244,3;4240,7;1,242;4258
4249,5;4251,5;4248;4251,5;7220;306821045;2025;4250,9;4251,6;4249,7;5,167;4257,5
4249;4249,5;4248;4249,5;2603;110603805;639;4245,7;4246,5;4243;1,279;4257
4248;4249,5;4247,5;4249;2974;126348580;818;4245,1;4245,4;4241,9;1,262;4256,5
4252,5;4253;4252;4252,5;1164;49500080;391;4251,2;4251,7;4249,9;0,595;4256
4246;4247,5;4245,5;4246,5;3738;158738835;1094;4245,9;4249,5;4246;1,224;4255,5
4250;4250;4249;4249,5;416;17677605;196;4250;4250,4;4248,3;0,654;4255
4251,5;4253;4250,5;4252,5;2538;107912400;731;4251;4251,5;4249,6;0,597;4254,5
4246,5;4247;4245,5;4245,5;3523;149587250;1223;4245,8;4248,5;4244,9;1,241;4254
4247,5;4249;4245,5;4248,5;8606;365517010;2636;4243,7;4243,2;4239,6;1,219;4253,5
4251,5;4252;4250;4252;1928;81960430;562;4250,5;4250,8;4248,8;0,615;4253
4246,5;4251;4245,5;4249,5;12286;522011520;3585;4246,5;4249;4246,1;1,14;4252,5
4244;4248;4244;4244,5;6692;284162800;2080;4247,1;4252,3;4246,1;-7,087;4252,5
4250,5;4253,5;4247;4247;15829;672876605;5501;4242,9;4242,1;4238,6;1,189;4252
4254;4256;4253;4255,5;4912;208969195;1548;4253,1;4252,6;4249,6;1,307;4251,5
4250;4251,5;4249;4249;5715;242894670;1862;4252,1;4254,4;4251,3;1,144;4251
4230;4231;4230;4230,5;314;13283820;96;4228,9;4229,3;4227,5;0,551;4250,5
4248,5;4251;4246,5;4250,5;12107;514453305;3089;4240,8;4239,3;4236,2;1,093;4250
4232;4233;4231,5;4232,5;471;19934035;115;4230,7;4231,7;4229,6;0,594;4249,5
4232;4233;4230;4230,5;1882;79634475;386;4228;4228,1;4226,3;0,54;4249
4229;4231;4228,5;4230;1128;47712670;238;4228,6;4229;4227,1;0,545;4248,5
4229;4231;4228,5;4230;2395;101308360;572;4226,9;4227,2;4225,5;0,491;4248
4230,5;4232;4230,5;4232;946;40029355;218;4229,6;4230,2;4228,2;0,573;4247,5
4248;4248,5;4245,5;4246;14404;611776940;3287;4232,8;4233,2;4231;0,684;4247
4230;4233;4230;4232;2589;109555615;585;4227,6;4227,7;4225,9;0,525;4246,5
4232;4232,5;4229;4229;1570;66429385;242;4230,6;4232;4229,9;0,566;4246
4246,5;4251,5;4246;4248,5;18629;791520115;4876;4235;4234,4;4232,1;0,804;4245,5
4229,5;4229,5;4229;4229,5;147;6217015;86;4228,4;4228,6;4226,8;0,541;4245
4249;4250,5;4243,5;4244;10395;441431565;3749;4236,3;4235,6;4233;0,868;4244,5
4230,5;4231;4229;4229;1395;59006380;291;4228,2;4228,4;4226,6;0,539;4244
4267;4267;4243;4251,5;74413;3165231720;17235;4264,8;4268,2;4264,9;4248;4243
4266;4268;4266;4268;1724;73561995;488;4267,1;4268,3;4266,3;6658;4242
4267,5;4268;4267;4267;1524;65038250;352;4266,6;4267,4;4265,3;7,31;4240,5
4266,5;4267,5;4266;4266;3588;153095840;931;4267;4268,1;4266,2;6,734;4239,5
4267,5;4268;4266,5;4268;3415;145720875;717;4267,3;4268,4;4266,5;6,573;4239
4227,5;4230;4227;4229;4587;193969350;899;4226;4226,5;4224,9;0,451;4232,5
4225,5;4227;4224,5;4225;3912;165324950;801;4223,4;4224,3;4222,6;0,387;4232
4225,5;4228,5;4225,5;4227;4689;198225865;913;4225,1;4225,8;4224,3;0,418;4231,5
4225;4226;4224,5;4225;1523;64350770;329;4223,7;4224,6;4222,8;0,393;4230,5
4222;4224;4222;4223,5;5050;213267385;1077;4220,5;4220,4;4218,5;0,286;4225,5
4215;4216;4214;4215,5;1237;52144415;356;4216,1;4216,9;4215,2;2,297;4224,5
4215,5;4216;4215;4215,5;2279;96076125;399;4215,8;4216,7;4215,3;1,959;4224
4215,5;4216;4215;4215,5;1745;73560480;300;4216;4216,7;4215,2;2,189;4223,5
4215,5;4216;4215,5;4215,5;584;24620475;133;4215,8;4216,7;4215,4;1,878;4222,5
4215,5;4216;4215;4216;1478;62305130;272;4215,8;4216,7;4215,5;1,844;4220,5
4216;4216,5;4215;4216;1753;73907380;378;4215,8;4216,8;4215,5;1,809;4220
4217,5;4218;4216,5;4216,5;1463;61696230;337;4216,4;4217,1;4215,4;2,541;4219,5
4217;4217;4215;4215,5;2415;101812660;710;4216,2;4217;4215,4;2,414;4219
4217,5;4218,5;4217;4218;1318;55591865;331;4216,6;4217;4215,8;2,043;4218,5
4214,5;4214,5;4213;4213;1194;50307930;339;4214,5;4215,6;4213,6;0,344;4218
4218,5;4218,5;4216;4216,5;2261;95347825;475;4217,8;4219;4217,1;1,201;4217,5
